Code région;Nom de la région;Code département;Code arrondissement;Code canton;Code commune;Commune;Population municipale;Population comptée à part;Population totale
44;Grand Est;55;3;4;39;Beaumont-en-Verdunois;0;0;0
44;Grand Est;55;3;4;50;Bezonvaux;0;0;0
44;Grand Est;55;3;4;139;Cumières-le-Mort-Homme;0;0;0
44;Grand Est;55;3;4;189;Fleury-devant-Douaumont;0;0;0
44;Grand Est;55;3;4;239;Haumont-près-Samogneux;0;0;0
44;Grand Est;55;3;4;307;Louvemont-Côte-du-Poivre;0;0;0
84;Auvergne-Rhône-Alpes;26;1;4;274;Rochefourchat;1;0;1
84;Auvergne-Rhône-Alpes;26;1;4;30;La Bâtie-des-Fonds;2;0;2
44;Grand Est;51;1;1;470;Rouvroy-Ripont;3;0;3
44;Grand Est;54;3;10;310;Leménil-Mitry;3;0;3
93;Provence-Alpes-Côte d'Azur;4;3;12;107;Majastres;4;0;4
44;Grand Est;57;5;23;470;Molring;4;0;4
76;Occitanie;11;2;14;147;Fontanès-de-Sault;5;0;5
84;Auvergne-Rhône-Alpes;26;2;10;245;Pommerol;5;0;5
76;Occitanie;31;2;2;127;Caubous;4;1;5
44;Grand Est;52;3;9;109;Charmes-en-l'Angle;6;0;6
32;Hauts-de-France;80;2;14;270;Épécamps;6;0;6
44;Grand Est;88;1;4;288;Maroncourt;6;0;6
76;Occitanie;31;2;2;81;Bourg-d'Oueil;7;0;7
76;Occitanie;31;2;2;559;Trébons-de-Luchon;7;0;7
27;Bourgogne-Franche-Comté;39;2;9;324;Mérona;7;0;7
44;Grand Est;55;3;4;394;Ornes;7;0;7
93;Provence-Alpes-Côte d'Azur;5;2;13;66;La Haute-Beaume;8;0;8
84;Auvergne-Rhône-Alpes;38;1;19;286;Oulles;9;0;9
32;Hauts-de-France;80;2;21;528;Méréaucourt;9;0;9
93;Provence-Alpes-Côte d'Azur;83;3;4;147;Vérignon;9;0;9
76;Occitanie;11;2;9;82;Caunette-sur-Lauquet;10;0;10
27;Bourgogne-Franche-Comté;25;1;15;130;Châteauvieux-les-Fossés;10;0;10
84;Auvergne-Rhône-Alpes;26;2;10;18;Aulan;10;0;10
76;Occitanie;9;1;1;287;Senconac;11;0;11
84;Auvergne-Rhône-Alpes;26;2;10;150;Izon-la-Bruisse;11;0;11
44;Grand Est;57;5;17;682;Turquestein-Blancrupt;11;0;11
52;Pays de la Loire;72;2;9;214;Nauvay;11;0;11
76;Occitanie;11;2;14;135;La Fajolle;12;0;12
94;Corse;2B;3;14;106;Érone;12;0;12
27;Bourgogne-Franche-Comté;21;3;5;303;Les Goulles;12;0;12
27;Bourgogne-Franche-Comté;21;3;5;402;Menesble;12;0;12
76;Occitanie;31;2;2;46;Baren;12;0;12
44;Grand Est;51;1;1;255;Fontaine-en-Dormois;12;0;12
76;Occitanie;65;2;8;23;Ardengost;12;0;12
76;Occitanie;65;1;6;349;Ourdon;12;0;12
24;Centre-Val de Loire;18;1;14;202;Saint-Céols;13;0;13
44;Grand Est;52;3;12;4;Aingoulaincourt;13;0;13
44;Grand Est;52;1;4;157;Curmont;12;1;13
93;Provence-Alpes-Côte d'Azur;4;3;13;9;Archail;14;0;14
93;Provence-Alpes-Côte d'Azur;4;3;13;191;Saint-Martin-lès-Seyne;12;2;14
27;Bourgogne-Franche-Comté;21;3;5;55;Beaunotte;14;0;14
27;Bourgogne-Franche-Comté;21;3;5;471;Orret;14;0;14
27;Bourgogne-Franche-Comté;25;2;12;573;Urtière;14;0;14
84;Auvergne-Rhône-Alpes;26;2;10;374;Villebois-les-Pins;14;0;14
76;Occitanie;31;2;2;146;Cirès;14;0;14
44;Grand Est;55;3;4;55;Blanzée;13;1;14
76;Occitanie;65;2;8;180;Fréchet-Aure;14;0;14
93;Provence-Alpes-Côte d'Azur;5;2;13;94;Nossage-et-Bénévent;14;1;15
44;Grand Est;8;3;19;300;Le Mont-Dieu;14;1;15
76;Occitanie;9;1;1;88;Caychax;15;0;15
76;Occitanie;9;1;12;162;Lercoul;15;0;15
76;Occitanie;11;2;14;389;Terroles;15;0;15
94;Corse;2B;3;10;321;Tarrano;15;0;15
84;Auvergne-Rhône-Alpes;38;1;15;241;Monestier-d'Ambel;15;0;15
76;Occitanie;65;1;6;38;Artigues;14;1;15
76;Occitanie;65;3;3;134;Casterets;14;1;15
76;Occitanie;65;2;8;309;Mazouau;15;0;15
76;Occitanie;65;2;8;379;Ris;14;1;15
94;Corse;2B;3;10;221;Piedipartino;16;0;16
84;Auvergne-Rhône-Alpes;26;1;4;17;Aucelon;16;0;16
84;Auvergne-Rhône-Alpes;26;2;10;242;Le Poët-en-Percip;16;0;16
27;Bourgogne-Franche-Comté;39;2;13;343;Monnetay;16;0;16
44;Grand Est;52;2;3;546;Voncourt;16;0;16
27;Bourgogne-Franche-Comté;58;2;3;169;Moissy-Moulinot;14;2;16
32;Hauts-de-France;62;1;38;396;Guinecourt;15;1;16
84;Auvergne-Rhône-Alpes;63;3;6;169;La Godivelle;16;0;16
76;Occitanie;65;3;3;443;Thuy;16;0;16
